p,next_p,gap,log_x,z_gap_over_logx
51263,51283,20,10.844724523371353,1.8442146646416153
51343,51347,4,10.846283886687548,0.36878990461511874
51637,51647,10,10.85199374877264,0.9214896572467155
51853,51859,6,10.856168071193151,0.55268120027738
51913,51929,16,10.857324519484246,1.4736595531695542
52027,52051,24,10.859518093579142,2.2100428207942646
52057,52067,10,10.860094551071759,0.9208022962390435
52387,52391,4,10.866413747926268,0.36810672709414866
52501,52511,10,10.868587496017359,0.9200827617815434
52733,52747,14,10.872996724515087,1.2875935084606926
52937,52951,14,10.87685780624945,1.2871364367709308
53161,53171,10,10.881080323786447,0.9190263928242149
53173,53189,16,10.881306027701488,1.4704117280836884
53401,53407,6,10.885584751364705,0.5511876612092695
53551,53569,18,10.888389749837856,1.653137003133824
53623,53629,6,10.889733359497507,0.5509776779582106
53731,53759,28,10.891745395126074,2.570754179814896
53891,53897,6,10.894718767073803,0.5507255513683655
53959,53987,28,10.89597977790386,2.569755136365219
54013,54037,24,10.89698003731375,2.202445073572542
54151,54163,12,10.899531719479302,1.1009647303061632
54217,54251,34,10.900749791385406,3.119051501105856
54559,54563,4,10.907037963903628,0.3667356814231167
54623,54629,6,10.908210318455298,0.5500444000285516
54709,54713,4,10.909783508696709,0.36664338910221356
55837,55843,6,10.930192011064651,0.5489382065682095
55871,55889,18,10.93080074098641,1.6467229095583766
56039,56041,2,10.933803155894871,0.18291896895196216
56383,56393,10,10.939922973610766,0.9140832183299604
56713,56731,18,10.945758740331856,1.644472569423202
56909,56911,2,10.9492087798385,0.18266160050603217
56921,56923,2,10.949419620566681,0.18265808319587362
57649,57653,4,10.962128179492987,0.36489264990377124
57781,57787,6,10.964415280897114,0.5472248037205936
58111,58129,18,10.970110253663124,1.6408221598310249
58129,58147,18,10.970419957726163,1.6407758380592439
58321,58337,16,10.973717513311941,1.458029148334719
58367,58369,2,10.974505940611799,0.18224055012799104
58567,58573,6,10.977926677010519,0.5465512911982671
59023,59029,6,10.98568247743216,0.5461654305343135
59207,59209,2,10.98879505712516,0.18200357633416736
59387,59393,6,10.991830626179583,0.5458599394453563
59497,59509,12,10.993681170094515,1.091536111911533
59797,59809,12,10.998710771456226,1.0910369632723058
59887,59921,34,11.000214732168839,3.090848754122134
60773,60779,6,11.014900890374633,0.5447166578905034
60869,60887,18,11.01647929289894,1.6339158383933545
61493,61507,14,11.026678626178281,1.269647957886684
61543,61547,4,11.02749139646913,0.36272982278460464
61687,61703,16,11.02982849077318,1.4506118579617564
61723,61729,6,11.030411911906333,0.5439506745458474
62071,62081,10,11.036034170120518,0.9061226021820841
62497,62501,4,11.042873834572456,0.3622245495078471
62591,62597,6,11.044376776784246,0.5432628858345595
62753,62761,8,11.046961664616168,0.7241810230612368
62921,62927,6,11.04963525024363,0.5430043493849905
62981,62983,2,11.050588372585487,0.1809858382709864
62987,62989,2,11.050683634874394,0.18098427808468637
63389,63391,2,11.05704562379489,0.18088014357976212
63521,63527,6,11.059125838870145,0.5425383603929576
63647,63649,2,11.061107470117504,0.1808137209952227
63901,63907,6,11.065090289695444,0.542245914214329
64153,64157,4,11.069026134343924,0.36136873754315024
64189,64217,28,11.06958713543389,2.529452964905226
64223,64231,8,11.070116680971605,0.7226662762960014
64279,64283,4,11.070988262792044,0.3613046916004246
64663,64667,4,11.076944446738864,0.36111041444986486
65003,65011,8,11.082188701658872,0.7218790633661106
65213,65239,26,11.085414114542965,2.3454243324920605
65371,65381,10,11.087834014026866,0.9018894030474589
65447,65449,2,11.088995933771097,0.1803589803752276
65521,65537,16,11.090125980925743,1.4427248191336062
65563,65579,16,11.090766791420345,1.4426414603161042
65587,65599,12,11.09113278456206,1.0819453912501171
65609,65617,8,11.09146816064374,0.7212751174264459
65837,65839,2,11.09493726930676,0.18026239819605264
65899,65921,22,11.095878545868636,1.9827181695487581
65927,65929,2,11.096303348266055,0.18024020588014356
66293,66301,8,11.101839589906104,0.720601296317925
66403,66413,10,11.103497515166799,0.9006171241395354
66467,66491,24,11.104460862874326,2.161293582495255
66763,66791,28,11.108904313854207,2.5205006010431164
66853,66863,10,11.110251458112545,0.9000696372806346
66883,66889,6,11.110700103211892,0.5400199757228182
66923,66931,8,11.111297983743281,0.7199878908570935
67061,67073,12,11.113357931928125,1.0797816531693447
67189,67211,22,11.115264822636302,1.9792600852115436
67271,67273,2,11.11648451637668,0.17991299291188886
67289,67307,18,11.116752055022747,1.6191779677111067
