x,observed_count,prime_count,density_drift,name,scenario
269,59,57,0.03508771929824561,noise_10,noise
300,64,62,0.03225806451612903,noise_10,noise
335,69,67,0.029850746268656716,noise_10,noise
375,77,74,0.04054054054054054,noise_10,noise
418,83,80,0.0375,noise_10,noise
467,94,91,0.03296703296703297,noise_10,noise
521,102,98,0.04081632653061224,noise_10,noise
582,110,106,0.03773584905660377,noise_10,noise
650,122,118,0.03389830508474576,noise_10,noise
726,135,128,0.0546875,noise_10,noise
810,148,140,0.05714285714285714,noise_10,noise
905,164,154,0.06493506493506493,noise_10,noise
1010,179,169,0.05917159763313609,noise_10,noise
1128,199,188,0.05851063829787234,noise_10,noise
1259,216,205,0.05365853658536585,noise_10,noise
1406,233,222,0.04954954954954955,noise_10,noise
1570,263,247,0.06477732793522267,noise_10,noise
1753,289,273,0.05860805860805861,noise_10,noise
1957,316,297,0.06397306397306397,noise_10,noise
2185,346,327,0.0581039755351682,noise_10,noise
2439,381,361,0.055401662049861494,noise_10,noise
2724,421,397,0.060453400503778336,noise_10,noise
3041,462,436,0.05963302752293578,noise_10,noise
3395,507,478,0.060669456066945605,noise_10,noise
3790,557,526,0.058935361216730035,noise_10,noise
4232,615,580,0.0603448275862069,noise_10,noise
4725,676,637,0.061224489795918366,noise_10,noise
5275,743,699,0.06294706723891273,noise_10,noise
5890,823,775,0.06193548387096774,noise_10,noise
6575,904,850,0.06352941176470588,noise_10,noise
7341,995,935,0.06417112299465241,noise_10,noise
8196,1095,1028,0.0651750972762646,noise_10,noise
9151,1208,1134,0.06525573192239859,noise_10,noise
10216,1334,1253,0.06464485235434957,noise_10,noise
11406,1472,1376,0.06976744186046512,noise_10,noise
12735,1624,1519,0.06912442396313365,noise_10,noise
14218,1793,1671,0.07301017354877319,noise_10,noise
15874,1987,1848,0.07521645021645022,noise_10,noise
17722,2182,2034,0.0727630285152409,noise_10,noise
19786,2403,2239,0.07324698526127736,noise_10,noise
22090,2665,2475,0.07676767676767676,noise_10,noise
24663,2941,2730,0.07728937728937729,noise_10,noise
27535,3245,3007,0.07914865314266711,noise_10,noise
30742,3585,3315,0.08144796380090498,noise_10,noise
34322,3967,3668,0.08151581243184297,noise_10,noise
38319,4386,4044,0.08456973293768547,noise_10,noise
42781,4847,4473,0.08361278783813995,noise_10,noise
47763,5344,4923,0.0855169612025188,noise_10,noise
53325,5913,5439,0.08714837286265857,noise_10,noise
59535,6549,6018,0.08823529411764706,noise_10,noise
66469,7221,6628,0.08946891973445986,noise_10,noise
74209,7989,7323,0.0909463334698894,noise_10,noise
82851,8822,8097,0.0895393355563789,noise_10,noise
92500,9736,8935,0.08964745383324006,noise_10,noise
103272,10780,9872,0.0919773095623987,noise_10,noise
115298,11918,10895,0.09389628269848554,noise_10,noise
128725,13192,12051,0.09468093934113352,noise_10,noise
143716,14619,13321,0.09744013212221304,noise_10,noise
160453,16184,14721,0.09938183547313362,noise_10,noise
