source,sample,mode,incremental_error_reduction
iid_shuffle,8,2,0.21237058365638406
iid_shuffle,8,3,0.19339312103485606
iid_shuffle,8,4,0.1362434975213029
iid_shuffle,8,5,0.10849350763347601
iid_shuffle,8,6,0.07949847084641344
iid_shuffle,8,7,0.00358903045647261
iid_shuffle,8,8,6.556402403303346e-16
iid_shuffle,9,1,0.24214803488069336
iid_shuffle,9,2,0.18005491158262033
iid_shuffle,9,3,0.17080668128839954
iid_shuffle,9,4,0.1716783419963636
iid_shuffle,9,5,0.08274447451535669
iid_shuffle,9,6,0.13200230935329185
iid_shuffle,9,7,0.0205652463832731
iid_shuffle,9,8,1.9994216100754168e-16
iid_shuffle,10,1,0.2880767631468997
iid_shuffle,10,2,0.1613824093891738
iid_shuffle,10,3,0.16544620319847703
iid_shuffle,10,4,0.12678021194098155
iid_shuffle,10,5,0.09455674519483082
iid_shuffle,10,6,0.0508487221752916
iid_shuffle,10,7,0.1129089449543445
iid_shuffle,10,8,1.9374755417069448e-16
iid_shuffle,11,1,0.2861756887690533
iid_shuffle,11,2,0.18265594410917108
iid_shuffle,11,3,0.15519456997003261
iid_shuffle,11,4,0.13206404905305558
iid_shuffle,11,5,0.13727073079027058
iid_shuffle,11,6,0.08900682555823541
iid_shuffle,11,7,0.017632191750179767
iid_shuffle,11,8,5.22958636176702e-17
iid_shuffle,12,1,0.2369135410040334
iid_shuffle,12,2,0.20264384958744175
iid_shuffle,12,3,0.18731975860917766
iid_shuffle,12,4,0.12001596280723836
iid_shuffle,12,5,0.1567118122934467
iid_shuffle,12,6,0.050107171239349206
iid_shuffle,12,7,0.04628790445931117
iid_shuffle,12,8,1.0610666586850335e-15
iid_shuffle,13,1,0.3002982219060927
iid_shuffle,13,2,0.15328673483854538
iid_shuffle,13,3,0.18357025055737475
iid_shuffle,13,4,0.10934376298840626
iid_shuffle,13,5,0.11274486566091019
iid_shuffle,13,6,0.10445199464359156
iid_shuffle,13,7,0.036304169405078204
iid_shuffle,13,8,2.592946289225288e-16
iid_shuffle,14,1,0.23593902663916044
iid_shuffle,14,2,0.2413991246801097
iid_shuffle,14,3,0.17952691562021006
iid_shuffle,14,4,0.1341978520375199
iid_shuffle,14,5,0.07818917202936562
iid_shuffle,14,6,0.07572626540156335
iid_shuffle,14,7,0.055021643592069784
iid_shuffle,14,8,-8.2236546003178e-18
iid_shuffle,15,1,0.28125251680997865
iid_shuffle,15,2,0.20857741850926415
iid_shuffle,15,3,0.1781102290801463
iid_shuffle,15,4,0.17888873290987203
iid_shuffle,15,5,0.07987906706651211
iid_shuffle,15,6,0.03607140157955361
iid_shuffle,15,7,0.03722063404466998
iid_shuffle,15,8,9.470674256472575e-18
iid_shuffle,16,1,0.1698908153057369
iid_shuffle,16,2,0.18319075238580607
iid_shuffle,16,3,0.17338993962097965
iid_shuffle,16,4,0.20545923893722223
iid_shuffle,16,5,0.08771085229321146
iid_shuffle,16,6,0.14426948936264067
iid_shuffle,16,7,0.03608891209440116
iid_shuffle,16,8,6.973567797669836e-16
iid_shuffle,17,1,0.18835969808111697
iid_shuffle,17,2,0.15392001138479106
iid_shuffle,17,3,0.1615194602129562
iid_shuffle,17,4,0.1410029701769211
iid_shuffle,17,5,0.22910637174328674
iid_shuffle,17,6,0.1137736596487392
iid_shuffle,17,7,0.012317828752187725
iid_shuffle,17,8,2.533020460721393e-16
iid_shuffle,18,1,0.2511870434441851
iid_shuffle,18,2,0.17233078484354158
iid_shuffle,18,3,0.1540015174960146
iid_shuffle,18,4,0.12147671122680442
iid_shuffle,18,5,0.1826271885246017
iid_shuffle,18,6,0.06344529200670226
iid_shuffle,18,7,0.054931462458148866
iid_shuffle,18,8,5.678643456288467e-16
iid_shuffle,19,1,0.2607149569850069
iid_shuffle,19,2,0.2065100540275665
iid_shuffle,19,3,0.15237382321034226
iid_shuffle,19,4,0.13901521421257862
iid_shuffle,19,5,0.18287105599910655
iid_shuffle,19,6,0.040058075658169594
iid_shuffle,19,7,0.018456819907228167
iid_shuffle,19,8,5.05229625762818e-16
iid_shuffle,20,1,0.2853502631880769
