state_n,state_n_plus_1,state_n_plus_2,empirical_P_c_given_ab,first_order_P_c_given_b,delta,abs_delta,support_count_ab
4,7,3,0.11191182704535821,0.11872783926077146,-0.006816012215413253,0.006816012215413253,2359
7,3,3,0.10678733031674208,0.1135765325310267,-0.006789202214284626,0.006789202214284626,2210
1,4,6,0.11787627861665854,0.11110514156772149,0.006771137048937059,0.006771137048937059,2053
2,7,4,0.12196162046908315,0.1287203180401848,-0.006758697571101646,0.006758697571101646,2345
4,2,6,0.1396187532199897,0.13286412722290872,0.006754625997080987,0.006754625997080987,1941
7,1,0,0.18087649402390438,0.17417933702251115,0.006697157001393228,0.006697157001393228,2510
5,5,0,0.11517615176151762,0.12179659377854188,-0.006620442017024261,0.006620442017024261,2214
4,6,7,0.12088974854932302,0.1143286949981196,0.006561053551203427,0.006561053551203427,2068
2,5,3,0.12636932707355242,0.11980873582979638,0.006560591243756034,0.006560591243756034,2556
4,3,4,0.15954415954415954,0.1530113361628969,0.0065328233812626535,0.0065328233812626535,2808
0,3,6,0.1353525792711784,0.12888841132541773,0.006464167945760685,0.006464167945760685,2113
5,4,3,0.14440572977158342,0.1508623005426315,-0.006456570771048081,0.006456570771048081,2583
4,6,1,0.1513539651837524,0.144898726696395,0.0064552384873574065,0.0064552384873574065,2068
4,6,6,0.11266924564796905,0.11905657336270349,-0.0063873277147344365,0.0063873277147344365,2068
6,3,5,0.10919781604367913,0.1155643904797722,-0.006366574436093064,0.006366574436093064,2381
5,6,5,0.13220940550133098,0.12598721323805942,0.006222192263271559,0.006222192263271559,2254
2,6,4,0.10432672866963202,0.1105141567721485,-0.006187428102516476,0.006187428102516476,2473
0,0,4,0.15311418685121106,0.1469324164607285,0.006181770390482566,0.006181770390482566,1156
1,0,5,0.11906230721776681,0.12522832276780918,-0.00616601555004237,0.00616601555004237,3242
0,5,3,0.11368511368511368,0.11980873582979638,-0.0061236221446827055,0.0061236221446827055,2331
3,5,5,0.12505811250581125,0.11894912158169021,0.006108990924121038,0.006108990924121038,2151
4,6,0,0.11992263056092843,0.12598721323805942,-0.006064582677130989,0.006064582677130989,2068
