transition,anchor_residue,next_residue,z_center,empirical_pdf,exp_pdf,delta
7->19,7,19,3.3,0.015909090909090883,0.0369861386754717,-0.021077047766380818
7->19,7,19,3.385714285714286,0.015909090909090883,0.03394796551694117,-0.018038874607850284
7->19,7,19,3.4714285714285715,0.015909090909090966,0.03115935872223703,-0.015250267813146062
7->19,7,19,3.557142857142857,0.015909090909090883,0.0285998180213932,-0.012690727112302316
7->19,7,19,3.6428571428571432,0.01060606060606059,0.026250527109631196,-0.015644466503570605
7->19,7,19,3.7285714285714286,0.005303030303030322,0.024094215320462204,-0.01879118501743188
7->19,7,19,3.814285714285714,0.0,0.02211503066145294,-0.02211503066145294
7->19,7,19,3.9000000000000004,0.0,0.02029842327928616,-0.02029842327928616
7->19,7,19,3.9857142857142858,0.0,0.01863103849741608,-0.01863103849741608
7->19,7,19,4.071428571428571,0.0,0.017100618639991582,-0.017100618639991582
7->19,7,19,4.157142857142857,0.0,0.01569591292031223,-0.01569591292031223
7->19,7,19,4.242857142857143,0.0,0.014406594731367297,-0.014406594731367297
7->19,7,19,4.328571428571429,0.0,0.013223185730424613,-0.013223185730424613
7->19,7,19,4.414285714285715,0.0,0.012136986159581541,-0.012136986159581541
7->19,7,19,4.5,0.0,0.011140010890034115,-0.011140010890034115
7->19,7,19,4.585714285714285,0.0,0.010224930719897714,-0.010224930719897714
7->19,7,19,4.671428571428572,0.0,0.009385018494033781,-0.009385018494033781
7->19,7,19,4.757142857142857,0.0,0.008614099649785918,-0.008614099649785918
7->19,7,19,4.842857142857143,0.0,0.007906506825065263,-0.007906506825065263
7->19,7,19,4.928571428571429,0.015909090909090966,0.007257038195089519,0.008652052714001449
7->19,7,19,5.014285714285714,0.015909090909090966,0.0066609192314905025,0.009248171677600465
7->19,7,19,5.1,0.005303030303030267,0.006113767602664896,-0.0008107372996346294
7->19,7,19,5.185714285714286,0.0,0.005611560957335133,-0.005611560957335133
7->19,7,19,5.271428571428571,0.005303030303030322,0.005150607354483377,0.00015242294854694513
7->19,7,19,5.357142857142858,0.010606060606060534,0.004727518122275987,0.005878542483784547
7->19,7,19,5.442857142857143,0.005303030303030322,0.0043391829464526546,0.0009638473565776679
7->19,7,19,5.5285714285714285,0.0,0.00398274700504392,-0.00398274700504392
7->19,7,19,5.614285714285714,0.0,0.0036555899813244695,-0.0036555899813244695
7->19,7,19,5.7,0.0,0.0033553068007171737,-0.0033553068007171737
7->19,7,19,5.785714285714286,0.0,0.0030796899500364562,-0.0030796899500364562
7->19,7,19,5.871428571428572,0.0,0.0028267132490919456,-0.0028267132490919456
7->19,7,19,5.957142857142857,0.0,0.0025945169553504453,-0.0025945169553504453
7->23,7,23,0.04285714285714286,0.0,0.9607229454284076,-0.9607229454284076
7->23,7,23,0.12857142857142856,0.0,0.8818057410347337,-0.8818057410347337
7->23,7,23,0.21428571428571427,0.0,0.8093710768769816,-0.8093710768769816
7->23,7,23,0.3,0.0,0.7428864540123261,-0.7428864540123261
7->23,7,23,0.38571428571428573,0.0,0.6818631148576237,-0.6818631148576237
7->23,7,23,0.4714285714285714,0.0,0.6258524501183417,-0.6258524501183417
7->23,7,23,0.5571428571428572,0.0,0.574442700865141,-0.574442700865141
7->23,7,23,0.6428571428571428,0.0,0.5272559315136365,-0.5272559315136365
7->23,7,23,0.7285714285714286,0.0,0.48394525145437756,-0.48394525145437756
7->23,7,23,0.8142857142857143,0.0,0.4441922649080403,-0.4441922649080403
7->23,7,23,0.9,0.0,0.40770473025859444,-0.40770473025859444
7->23,7,23,0.9857142857142857,0.0,0.3742144116571816,-0.3742144116571816
7->23,7,23,1.0714285714285714,1.4880952380952355,0.34347510710290213,1.1446201309923334
7->23,7,23,1.157142857142857,5.885416666666673,0.3152608385040695,5.570155828162604
7->23,7,23,1.2428571428571429,2.1428571428571392,0.28936419041427874,1.8534929524428605
7->23,7,23,1.3285714285714287,0.7366071428571436,0.2655947852306119,0.47101235762653165
7->23,7,23,1.4142857142857141,0.3050595238095241,0.24377788364449285,0.061281640165031265
7->23,7,23,1.5,0.16369047619047591,0.22375310005649293,-0.06006262386601702
7->23,7,23,1.5857142857142859,0.08928571428571437,0.2053732235115413,-0.11608750922582693
7->23,7,23,1.6714285714285715,0.04464285714285707,0.18850313548671466,-0.1438602783438576
7->23,7,23,1.7571428571428571,0.044642857142857185,0.17301881657579302,-0.12837595943293584
7->23,7,23,1.842857142857143,0.007440476190476198,0.1588064347682837,-0.15136595857780752
7->23,7,23,1.9285714285714286,0.014880952380952358,0.14576150862045373,-0.13088055623950137
7->23,7,23,2.0142857142857142,0.0,0.1337881391664733,-0.1337881391664733
7->23,7,23,2.0999999999999996,0.0,0.12279830492311432,-0.12279830492311432
7->23,7,23,2.185714285714286,0.0,0.11271121480527316,-0.11271121480527316
7->23,7,23,2.2714285714285714,0.0,0.10345271419531782,-0.10345271419531782
7->23,7,23,2.357142857142857,0.0,0.09495473980001322,-0.09495473980001322
7->23,7,23,2.442857142857143,0.0,0.08715481928744107,-0.08715481928744107
7->23,7,23,2.5285714285714285,0.0,0.07999561202552476,-0.07999561202552476
7->23,7,23,2.6142857142857143,0.0,0.07342448754592751,-0.07342448754592751
7->23,7,23,2.7,0.0,0.06739313863442749,-0.06739313863442749
7->23,7,23,2.7857142857142856,0.0,0.061857226203427235,-0.061857226203427235
7->23,7,23,2.8714285714285714,0.0,0.05677605333590008,-0.05677605333590008
7->23,7,23,2.9571428571428573,0.0,0.052112266104527814,-0.052112266104527814
7->23,7,23,3.0428571428571427,0.0,0.04783157896661976,-0.04783157896661976
7->23,7,23,3.1285714285714286,0.0,0.043902522716071216,-0.043902522716071216
7->23,7,23,3.2142857142857144,0.24553571428571389,0.040296213139445945,0.20523950114626793
7->23,7,23,3.3,0.17857142857142827,0.0369861386754717,0.14158528989595656
7->23,7,23,3.385714285714286,0.08184523809523796,0.03394796551694117,0.04789727257829679
7->23,7,23,3.4714285714285715,0.0446428571428573,0.03115935872223703,0.013483498420620275
7->23,7,23,3.557142857142857,0.04464285714285707,0.0285998180213932,0.01604303912146387
7->23,7,23,3.6428571428571432,0.029761904761904715,0.026250527109631196,0.0035113776522735195
7->23,7,23,3.7285714285714286,0.007440476190476217,0.024094215320462204,-0.016653739129985988
7->23,7,23,3.814285714285714,0.022321428571428534,0.02211503066145294,0.0002063979099755954
7->23,7,23,3.9000000000000004,0.022321428571428534,0.02029842327928616,0.002023005292142374
7->23,7,23,3.9857142857142858,0.007440476190476217,0.01863103849741608,-0.011190562306939864
7->23,7,23,4.071428571428571,0.0,0.017100618639991582,-0.017100618639991582
7->23,7,23,4.157142857142857,0.0,0.01569591292031223,-0.01569591292031223
7->23,7,23,4.242857142857143,0.0,0.014406594731367297,-0.014406594731367297
7->23,7,23,4.328571428571429,0.0,0.013223185730424613,-0.013223185730424613
7->23,7,23,4.414285714285715,0.0,0.012136986159581541,-0.012136986159581541
7->23,7,23,4.5,0.0,0.011140010890034115,-0.011140010890034115
7->23,7,23,4.585714285714285,0.0,0.010224930719897714,-0.010224930719897714
7->23,7,23,4.671428571428572,0.0,0.009385018494033781,-0.009385018494033781
7->23,7,23,4.757142857142857,0.0,0.008614099649785918,-0.008614099649785918
7->23,7,23,4.842857142857143,0.0,0.007906506825065263,-0.007906506825065263
7->23,7,23,4.928571428571429,0.0,0.007257038195089519,-0.007257038195089519
7->23,7,23,5.014285714285714,0.0,0.0066609192314905025,-0.0066609192314905025
7->23,7,23,5.1,0.0,0.006113767602664896,-0.006113767602664896
7->23,7,23,5.185714285714286,0.0,0.005611560957335133,-0.005611560957335133
7->23,7,23,5.271428571428571,0.014880952380952434,0.005150607354483377,0.009730345026469057
7->23,7,23,5.357142857142858,0.014880952380952281,0.004727518122275987,0.010153434258676295
7->23,7,23,5.442857142857143,0.0,0.0043391829464526546,-0.0043391829464526546
7->23,7,23,5.5285714285714285,0.014880952380952434,0.00398274700504392,0.010898205375908514
7->23,7,23,5.614285714285714,0.0,0.0036555899813244695,-0.0036555899813244695
7->23,7,23,5.7,0.007440476190476217,0.0033553068007171737,0.004085169389759043
7->23,7,23,5.785714285714286,0.0,0.0030796899500364562,-0.0030796899500364562
7->23,7,23,5.871428571428572,0.0,0.0028267132490919456,-0.0028267132490919456
7->23,7,23,5.957142857142857,0.007440476190476217,0.0025945169553504453,0.004845959235125772
7->29,7,29,0.04285714285714286,0.0,0.9607229454284076,-0.9607229454284076
7->29,7,29,0.12857142857142856,0.0,0.8818057410347337,-0.8818057410347337
7->29,7,29,0.21428571428571427,0.0,0.8093710768769816,-0.8093710768769816
7->29,7,29,0.3,0.0,0.7428864540123261,-0.7428864540123261
7->29,7,29,0.38571428571428573,0.0,0.6818631148576237,-0.6818631148576237
7->29,7,29,0.4714285714285714,0.0,0.6258524501183417,-0.6258524501183417
7->29,7,29,0.5571428571428572,0.0,0.574442700865141,-0.574442700865141
7->29,7,29,0.6428571428571428,0.0,0.5272559315136365,-0.5272559315136365
7->29,7,29,0.7285714285714286,0.0,0.48394525145437756,-0.48394525145437756
7->29,7,29,0.8142857142857143,0.0,0.4441922649080403,-0.4441922649080403
7->29,7,29,0.9,0.0,0.40770473025859444,-0.40770473025859444
7->29,7,29,0.9857142857142857,0.0,0.3742144116571816,-0.3742144116571816
7->29,7,29,1.0714285714285714,0.0,0.34347510710290213,-0.34347510710290213
7->29,7,29,1.157142857142857,0.0,0.3152608385040695,-0.3152608385040695
7->29,7,29,1.2428571428571429,0.0,0.28936419041427874,-0.28936419041427874
7->29,7,29,1.3285714285714287,0.0,0.2655947852306119,-0.2655947852306119
7->29,7,29,1.4142857142857141,0.0,0.24377788364449285,-0.24377788364449285
7->29,7,29,1.5,2.331525948876836,0.22375310005649293,2.107772848820343
7->29,7,29,1.5857142857142859,4.780531887425773,0.2053732235115413,4.575158663914231
7->29,7,29,1.6714285714285715,2.205009036922279,0.18850313548671466,2.0165059014355644
7->29,7,29,1.7571428571428571,0.8042860831396859,0.17301881657579302,0.6312672665638929
7->29,7,29,1.842857142857143,0.4428091918409506,0.1588064347682837,0.28400275707266687
7->29,7,29,1.9285714285714286,0.2078492124967722,0.14576150862045373,0.062087703876318484
7->29,7,29,2.0142857142857142,0.08133230054221563,0.1337881391664733,-0.05245583862425768
7->29,7,29,2.0999999999999996,0.06325845597727849,0.12279830492311432,-0.05953984894583583
7->29,7,29,2.185714285714286,0.07229537825974686,0.11271121480527316,-0.0404158365455263
7->29,7,29,2.2714285714285714,0.04518461141234178,0.10345271419531782,-0.05826810278297604
7->29,7,29,2.357142857142857,0.02711076684740521,0.09495473980001322,-0.06784397295260801
7->29,7,29,2.442857142857143,0.009036922282468357,0.08715481928744107,-0.07811789700497271
7->29,7,29,2.5285714285714285,0.009036922282468357,0.07999561202552476,-0.0709586897430564
7->29,7,29,2.6142857142857143,0.018073844564936808,0.07342448754592751,-0.0553506429809907
7->29,7,29,2.7,0.0,0.06739313863442749,-0.06739313863442749
7->29,7,29,2.7857142857142856,0.009036922282468357,0.061857226203427235,-0.05282030392095888
7->29,7,29,2.8714285714285714,0.0,0.05677605333590008,-0.05677605333590008
7->29,7,29,2.9571428571428573,0.0,0.052112266104527814,-0.052112266104527814
7->29,7,29,3.0428571428571427,0.0,0.04783157896661976,-0.04783157896661976
7->29,7,29,3.1285714285714286,0.0,0.043902522716071216,-0.043902522716071216
7->29,7,29,3.2142857142857144,0.0,0.040296213139445945,-0.040296213139445945
7->29,7,29,3.3,0.0,0.0369861386754717,-0.0369861386754717
7->29,7,29,3.385714285714286,0.0,0.03394796551694117,-0.03394796551694117
7->29,7,29,3.4714285714285715,0.0,0.03115935872223703,-0.03115935872223703
7->29,7,29,3.557142857142857,0.0813323005422152,0.0285998180213932,0.052732482520822
7->29,7,29,3.6428571428571432,0.1626646010844304,0.026250527109631196,0.1364140739747992
7->29,7,29,3.7285714285714286,0.11747998967208922,0.024094215320462204,0.09338577435162702
7->29,7,29,3.814285714285714,0.054221533694810135,0.02211503066145294,0.0321065030333572
7->29,7,29,3.9000000000000004,0.027110766847405068,0.02029842327928616,0.006812343568118908
7->29,7,29,3.9857142857142858,0.009036922282468404,0.01863103849741608,-0.009594116214947676
7->29,7,29,4.071428571428571,0.036147689129873616,0.017100618639991582,0.019047070489882034
7->29,7,29,4.157142857142857,0.0,0.01569591292031223,-0.01569591292031223
7->29,7,29,4.242857142857143,0.018073844564936808,0.014406594731367297,0.003667249833569511
7->29,7,29,4.328571428571429,0.0,0.013223185730424613,-0.013223185730424613
7->29,7,29,4.414285714285715,0.0,0.012136986159581541,-0.012136986159581541
7->29,7,29,4.5,0.009036922282468404,0.011140010890034115,-0.0021030886075657108
7->29,7,29,4.585714285714285,0.0,0.010224930719897714,-0.010224930719897714
7->29,7,29,4.671428571428572,0.0,0.009385018494033781,-0.009385018494033781
7->29,7,29,4.757142857142857,0.0,0.008614099649785918,-0.008614099649785918
7->29,7,29,4.842857142857143,0.0,0.007906506825065263,-0.007906506825065263
7->29,7,29,4.928571428571429,0.009036922282468404,0.007257038195089519,0.0017798840873788852
