window_index,midpoint,anchor_mod30,z_center,empirical_pdf,exp_pdf,delta
8,6195.053268536115,17,5.633333333333333,0.0,0.003586184964058159,-0.003586184964058159
8,6195.053268536115,17,5.7,0.0,0.0033549010834917664,-0.0033549010834917664
8,6195.053268536115,17,5.766666666666667,0.0,0.003138533397696691,-0.003138533397696691
8,6195.053268536115,17,5.833333333333333,0.0,0.0029361199163002714,-0.0029361199163002714
8,6195.053268536115,17,5.9,0.0,0.002746760690589351,-0.002746760690589351
8,6195.053268536115,17,5.966666666666667,0.0,0.0025696138122566084,-0.0025696138122566084
8,6195.053268536115,23,0.03333333333333333,0.0,0.9697991161959337,-0.9697991161959337
8,6195.053268536115,23,0.1,0.0,0.9072538472787854,-0.9072538472787854
8,6195.053268536115,23,0.16666666666666669,0.0,0.8487423113261123,-0.8487423113261123
8,6195.053268536115,23,0.23333333333333334,0.0,0.7940043607374581,-0.7940043607374581
8,6195.053268536115,23,0.3,0.0,0.7427966256154565,-0.7427966256154565
8,6195.053268536115,23,0.3666666666666667,0.0,0.694891431721175,-0.694891431721175
8,6195.053268536115,23,0.43333333333333335,0.0,0.6500757882137806,-0.6500757882137806
8,6195.053268536115,23,0.5,0.0,0.6081504406739263,-0.6081504406739263
